38 Sea Zone  (4173,2192)  (4125,2239)  (4125,2191)  (4220,2240)  (4173,2144)  (4221,2146)  (4123,2143)  (4268,2194)  (4268,2242)  (4316,2197)  (4316,2245)  | overflowToLeft=false
99 Sea Zone  (2742,1514)  (2790,1516)  (2807,1392)  (2838,1472)  (2838,1520)  (2855,1374)  (2855,1422)  (2886,1473)  (2886,1521)  (2999,1522)  | overflowToLeft=false
Western Ukraine  (2977,753)  (3026,753)  (3075,758)  (2971,865)  (2973,811)  (3021,868)  (3072,864)  (3115,847)  (3113,806)  (3118,761)  | overflowToLeft=false
84 Sea Zone  (1470,2431)  (1422,2478)  (1422,2430)  (1517,2479)  (1470,2383)  (1518,2383)  (1518,2431)  (1420,2382)  (1469,2526)  (1421,2526)  (1374,2478)  (1374,2430)  (1565,2479)  (1565,2527)  (1517,2527)  (1373,2527)  (1468,2335)  (1516,2335)  (1564,2335)  (1566,2383)  (1566,2431)  (1372,2382)  (1372,2334)  (1420,2334)  (1469,2574)  (1421,2574)  (1592,2575)  (1544,2575)  (1373,2575)  (1468,2287)  (1516,2287)  (1564,2287)  (1352,2286)  (1400,2286)  (1496,2622)  (1448,2622)  (1592,2623)  (1544,2623)  (1400,2623)  (1352,2623)  (1448,2239)  (1496,2239)  (1544,2239)  (1592,2239)  (1352,2238)  (1400,2238)  (1496,2670)  (1448,2670)  (1592,2671)  (1544,2671)  (1400,2671)  (1352,2671)  | overflowToLeft=false
Paraguay  (874,2300)  (921,2333)  (970,2326)  (991,2273)  (882,2249)  (925,2214)  | overflowToLeft=false
Kazakhstan  (3676,1154)  (3679,1202)  (3725,1239)  (3773,1237)  (3822,1234)  (3855,1183)  (3859,1133)  (3860,1081)  (3816,1067)  (3762,1083)  (3709,1096)  (3660,1105)  (3610,1103)  (3618,1152)  (3623,1202)  (3570,1247)  (3622,1250)  (3670,1250)  (3585,1295)  (3632,1297)  (3681,1297)  (3728,1290)  (3774,1285)  (3822,1281)  (3872,1279)  (3870,1233)  (3873,1328)  (3820,1328)  (3768,1334)  (3771,1380)  (3820,1378)  (3872,1378)  (3773,1429)  (3819,1428)  (3867,1425)  (3780,1474)  (3825,1470)  (3872,1472)  (3783,1520)  (3829,1517)  | overflowToLeft=false
Syria  (3054,1558)  (3102,1480)  (3150,1479)  (3097,1562)  (3143,1555)  (3180,1526)  (3194,1479)  (3242,1485)  | overflowToLeft=false
Anhwe  (4697,1142)  (4606,1255)  (4639,1304)  (4688,1302)  (4732,1301)  (4766,1255)  (4783,1203)  (4748,1145)  (4701,1086)  (4749,1090)  (4677,1355)  (4727,1352)  (4713,1402)  (4757,1397)  (4798,1080)  | overflowToLeft=false
Solomon Islands  (6109,2441)  (6151,2450)  (6137,2484)  (6179,2489)  | overflowToLeft=false
Yukon Territory  (7505,5)  (7508,56)  (7504,106)  (7505,152)  (7554,179)  (7601,186)  (7644,184)  (7651,133)  (7653,80)  (7553,7)  (7602,9)  (7552,132)  (7600,136)  (7654,14)  | overflowToLeft=false
56 Sea Zone  (5185,2883)  (5137,2930)  (5137,2882)  (5224,2931)  (5185,2835)  (5135,2834)  (5176,2978)  (5128,2978)  (5089,2930)  (5089,2882)  (5250,2979)  (5183,2787)  (5087,2834)  (5087,2786)  (5135,2786)  (5080,2987)  (5231,2776)  (5279,2759)  (5202,3026)  (5154,3026)  (5267,3027)  (5183,2739)  (5104,2738)  (5106,3035)  (5058,3035)  (5327,2731)  (5231,2728)  (5279,2711)  (5369,3068)  (5321,3073)  (5219,3074)  (5171,3074)  (5273,3075)  (5152,2691)  (5123,3083)  (5075,3083)  (5327,2683)  (5200,2680)  (5248,2663)  (5417,3041)  (5417,3089)  (5369,3116)  (5321,3121)  (5225,3122)  (5177,3122)  (5273,3123)  (5129,3131)  (5081,3131)  (5296,2635)  (5344,2635)  (5420,3137)  | overflowToLeft=false
100 Sea Zone  (3079,1217)  (3031,1238)  (3031,1190)  (3127,1199)  (3127,1247)  (3011,1142)  (2983,1260)  (2983,1212)  (3175,1166)  (3175,1214)  (3175,1262)  (3223,1239)  | overflowToLeft=false
Marshall Islands  (6358,1786)  (6362,1832)  (6402,1880)  | overflowToLeft=false
Mali  (1811,1967)  (1856,1987)  (1901,1995)  (1952,1960)  (1953,1910)  (1912,1874)  (1867,1834)  (1820,1835)  (1818,1786)  (1865,1787)  (1998,1937)  (1950,2009)  (1764,1955)  (1710,1955)  (1729,2002)  (1773,2011)  (1820,2031)  (1867,2039)  (1918,2044)  (1995,2037)  (2001,1987)  (2046,1966)  | overflowToLeft=false
9 Sea Zone  (7128,726)  (7080,773)  (7080,725)  (7175,774)  (7128,678)  (7176,678)  (7176,726)  (7078,677)  (7127,821)  (7079,821)  (7223,774)  (7223,822)  (7175,822)  (7126,630)  (7174,630)  (7222,630)  (7224,678)  (7224,726)  (7046,629)  (7127,869)  (7079,869)  (7231,870)  (7183,870)  (7094,582)  (7142,582)  (7190,582)  (7046,581)  (7135,917)  (7087,917)  (7231,918)  (7183,918)  (7094,534)  (7142,534)  (7190,534)  (7046,533)  (7135,965)  (7087,965)  (7231,966)  (7183,966)  (7094,486)  (7142,486)  (7190,486)  (7046,485)  (7135,1013)  (7231,1014)  (7183,1014)  (7135,1061)  (7231,1062)  (7183,1062)  | overflowToLeft=false
Kamchatka  (6249,106)  (6201,106)  (6150,107)  (6151,61)  (6149,14)  (6135,149)  (6184,154)  (6235,151)  (6296,136)  (6345,116)  (6396,97)  (6444,78)  (6444,32)  (6490,0)  (6492,48)  (6501,96)  (6550,75)  (6548,27)  (6599,44)  (6704,1)  (6096,196)  (6054,238)  (6006,260)  (6053,285)  (6003,310)  (6750,4)  | overflowToLeft=false
13 Sea Zone  (6911,1159)  (6863,1206)  (6863,1158)  (6958,1207)  (6911,1111)  (6959,1111)  (6959,1159)  (6861,1110)  (6910,1254)  (6862,1254)  (7006,1207)  (7006,1255)  (6958,1255)  (6909,1063)  (6957,1063)  (7005,1063)  (7007,1111)  (7007,1159)  (6816,1062)  (7053,1017)  (6910,1302)  (6862,1302)  (7054,1207)  (7054,1255)  (7054,1303)  (7006,1303)  (6958,1303)  (7055,1065)  (7055,1113)  | overflowToLeft=false
115 Sea Zone  (2692,245)  (2692,409)  (2692,457)  | overflowToLeft=false
Malaya  (4400,2290)  (4433,2330)  (4471,2364)  (4517,2360)  (4538,2399)  | overflowToLeft=false
Argentina  (776,2579)  (824,2577)  (872,2577)  (788,2626)  (835,2622)  (796,2673)  (841,2668)  (797,2721)  (844,2736)  (911,2538)  (945,2526)  (897,2488)  (895,2440)  (900,2393)  (948,2379)  (849,2405)  (802,2406)  (762,2404)  (770,2353)  (818,2353)  (870,2353)  (779,2303)  (826,2303)  (848,2446)  (798,2451)  (815,2260)  (846,2781)  | overflowToLeft=false
